func_id,language,raw_source_path,generated_test_code
JA-002,java,data-research/java_functions/JA-002.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class CommandLineTest {
    @Test
    void testConcat_EmptyArrays() {
        boolean[] result = CommandLine.concat(new boolean[0], new boolean[0]);
        assertArrayEquals(new boolean[0], result);
    }

    @Test
    void testConcat_SingleNonEmptyArray() {
        boolean[] result = CommandLine.concat(new boolean[]{true, false});
        assertArrayEquals(new boolean[]{true, false}, result);
    }

    @Test
    void testConcat_MultipleArrays() {
        boolean[] result = CommandLine.concat(new boolean[]{true}, new boolean[]{false, true}, new boolean[]{});
        assertArrayEquals(new boolean[]{true, false, true}, result);
    }

    @Test
    void testConcat_NullArray() {
        boolean[] result = CommandLine.concat(new boolean[]{true}, null, new boolean[]{false});
        assertArrayEquals(new boolean[]{true, false}, result);
    }

    @Test
    void testConcat_AllNullArrays() {
        boolean[] result = CommandLine.concat(null, null);
        assertArrayEquals(new boolean[0], result);
    }
}
```"
JA-010,java,data-research/java_functions/JA-010.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class CommandLineTest {
    private static final int INDEX_NOT_FOUND = -1;

    @Test
    void testIndexOf_NaNValue() {
        double[] array = {1.0, 2.0, Double.NaN, 4.0};
        assertEquals(2, CommandLine.indexOf(array, Double.NaN, 0));
    }

    @Test
    void testIndexOf_EmptyArray() {
        double[] array = {};
        assertEquals(INDEX_NOT_FOUND, CommandLine.indexOf(array, 1.0, 0));
    }

    @Test
    void testIndexOf_ValueFound() {
        double[] array = {1.0, 2.0, 3.0, 4.0};
        assertEquals(2, CommandLine.indexOf(array, 3.0, 0));
    }

    @Test
    void testIndexOf_ValueNotFound() {
        double[] array = {1.0, 2.0, 3.0, 4.0};
        assertEquals(INDEX_NOT_FOUND, CommandLine.indexOf(array, 5.0, 0));
    }

    @Test
    void testIndexOf_StartIndex() {
        double[] array = {1.0, 2.0, 3.0, 4.0};
        assertEquals(3, CommandLine.indexOf(array, 4.0, 2));
    }

    @Test
    void testIndexOf_StartIndexOutOfBounds() {
        double[] array = {1.0, 2.0, 3.0, 4.0};
        assertEquals(INDEX_NOT_FOUND, CommandLine.indexOf(array, 1.0, 5));
    }
}
```"
JA-012,java,data-research/java_functions/JA-012.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;

import java.lang.reflect.Array;

import static org.junit.jupiter.api.Assertions.*;

public class DefaultParserTest {

    @Test
    void testAdd_NullArray_ZeroIndex() {
        Object result = DefaultParser.add(null, 0, ""element"", String.class);
        assertEquals(1, Array.getLength(result));
        assertEquals(""element"", Array.get(result, 0));
    }

    @Test
    void testAdd_NullArray_NonZeroIndex() {
        IndexOutOfBoundsException exception = assertThrows(IndexOutOfBoundsException.class, () -> {
            DefaultParser.add(null, 1, ""element"", String.class);
        });
        assertEquals(""Index: 1, Length: 0"", exception.getMessage());
    }

    @Test
    void testAdd_ValidArray_ValidIndex() {
        String[] array = new String[]{""a"", ""b"", ""c""};
        Object result = DefaultParser.add(array, 1, ""newElement"", String.class);
        assertEquals(4, Array.getLength(result));
        assertEquals(""a"", Array.get(result, 0));
        assertEquals(""newElement"", Array.get(result, 1));
        assertEquals(""b"", Array.get(result, 2));
        assertEquals(""c"", Array.get(result, 3));
    }

    @Test
    void testAdd_ValidArray_IndexOutOfBounds() {
        String[] array = new String[]{""a"", ""b"", ""c""};
        IndexOutOfBoundsException exception = assertThrows(IndexOutOfBoundsException.class, () -> {
            DefaultParser.add(array, 4, ""element"", String.class);
        });
        assertEquals(""Index: 4, Length: 3"", exception.getMessage());
    }

    @Test
    void testAdd_ValidArray_NegativeIndex() {
        String[] array = new String[]{""a"", ""b"", ""c""};
        IndexOutOfBoundsException exception = assertThrows(IndexOutOfBoundsException.class, () -> {
            DefaultParser.add(array, -1, ""element"", String.class);
        });
        assertEquals(""Index: -1, Length: 3"", exception.getMessage());
    }
}
```"
JA-020,java,data-research/java_functions/JA-020.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class HelpFormatterTest {
    private static final int INDEX_NOT_FOUND = -1;

    @Test
    void testLastIndexOf_NullArray() {
        assertEquals(INDEX_NOT_FOUND, HelpFormatter.lastIndexOf(null, 1, 0));
    }

    @Test
    void testLastIndexOf_NegativeStartIndex() {
        int[] array = {1, 2, 3};
        assertEquals(INDEX_NOT_FOUND, HelpFormatter.lastIndexOf(array, 1, -1));
    }

    @Test
    void testLastIndexOf_StartIndexOutOfBounds() {
        int[] array = {1, 2, 3};
        assertEquals(0, HelpFormatter.lastIndexOf(array, 1, 5));
    }

    @Test
    void testLastIndexOf_ValueFound() {
        int[] array = {1, 2, 3, 1};
        assertEquals(3, HelpFormatter.lastIndexOf(array, 1, 3));
    }

    @Test
    void testLastIndexOf_ValueNotFound() {
        int[] array = {1, 2, 3};
        assertEquals(INDEX_NOT_FOUND, HelpFormatter.lastIndexOf(array, 4, 2));
    }

    @Test
    void testLastIndexOf_EmptyArray() {
        int[] array = {};
        assertEquals(INDEX_NOT_FOUND, HelpFormatter.lastIndexOf(array, 1, 0));
    }
}
```"
JA-022,java,data-research/java_functions/JA-022.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class DefaultParserTest {
    
    @Test
    void testIndexOf_EmptyArray() {
        assertEquals(DefaultParser.INDEX_NOT_FOUND, DefaultParser.indexOf(new Object[]{}, new Object(), 0));
    }

    @Test
    void testIndexOf_NullObjectToFind() {
        Object[] array = {1, 2, null, 4};
        assertEquals(2, DefaultParser.indexOf(array, null, 0));
    }

    @Test
    void testIndexOf_ObjectFound() {
        Object[] array = {1, 2, 3, 4};
        assertEquals(2, DefaultParser.indexOf(array, 3, 0));
    }

    @Test
    void testIndexOf_ObjectNotFound() {
        Object[] array = {1, 2, 3, 4};
        assertEquals(DefaultParser.INDEX_NOT_FOUND, DefaultParser.indexOf(array, 5, 0));
    }

    @Test
    void testIndexOf_StartIndexOutOfBounds() {
        Object[] array = {1, 2, 3, 4};
        assertEquals(DefaultParser.INDEX_NOT_FOUND, DefaultParser.indexOf(array, 1, 5));
    }

    @Test
    void testIndexOf_NegativeStartIndex() {
        Object[] array = {1, 2, 3, 4};
        assertEquals(0, DefaultParser.indexOf(array, 1, -1));
    }
}
```"
JA-030,java,data-research/java_functions/JA-030.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class DefaultParserTest {
    
    @Test
    void testInsert_NullArray() {
        assertNull(DefaultParser.insert(0, null, (short) 1, (short) 2));
    }

    @Test
    void testInsert_EmptyValues() {
        short[] array = {1, 2, 3};
        short[] result = DefaultParser.insert(1, array);
        assertArrayEquals(array, result);
    }

    @Test
    void testInsert_ValidInsertion() {
        short[] array = {1, 2, 3};
        short[] result = DefaultParser.insert(1, array, (short) 4, (short) 5);
        assertArrayEquals(new short[]{1, 4, 5, 2, 3}, result);
    }

    @Test
    void testInsert_IndexOutOfBounds_Negative() {
        short[] array = {1, 2, 3};
        assertThrows(IndexOutOfBoundsException.class, () -> {
            DefaultParser.insert(-1, array, (short) 4);
        });
    }

    @Test
    void testInsert_IndexOutOfBounds_TooHigh() {
        short[] array = {1, 2, 3};
        assertThrows(IndexOutOfBoundsException.class, () -> {
            DefaultParser.insert(4, array, (short) 4);
        });
    }

    @Test
    void testInsert_InsertionAtStart() {
        short[] array = {1, 2, 3};
        short[] result = DefaultParser.insert(0, array, (short) 4);
        assertArrayEquals(new short[]{4, 1, 2, 3}, result);
    }

    @Test
    void testInsert_InsertionAtEnd() {
        short[] array = {1, 2, 3};
        short[] result = DefaultParser.insert(3, array, (short) 4);
        assertArrayEquals(new short[]{1, 2, 3, 4}, result);
    }
}
```"
JA-032,java,data-research/java_functions/JA-032.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class DefaultParserTest {
    @Test
    void testToBooleanObject_ValueIsNull_TrueValueIsNull() {
        assertEquals(Boolean.TRUE, DefaultParser.toBooleanObject(null, null, 0, 1));
    }

    @Test
    void testToBooleanObject_ValueIsNull_FalseValueIsNull() {
        assertEquals(Boolean.FALSE, DefaultParser.toBooleanObject(null, 0, null, 1));
    }

    @Test
    void testToBooleanObject_ValueIsNull_NullValueIsNull() {
        assertNull(DefaultParser.toBooleanObject(null, 0, 1, null));
    }

    @Test
    void testToBooleanObject_ValueEqualsTrueValue() {
        assertEquals(Boolean.TRUE, DefaultParser.toBooleanObject(1, 1, 0, 2));
    }

    @Test
    void testToBooleanObject_ValueEqualsFalseValue() {
        assertEquals(Boolean.FALSE, DefaultParser.toBooleanObject(0, 1, 0, 2));
    }

    @Test
    void testToBooleanObject_ValueEqualsNullValue() {
        assertNull(DefaultParser.toBooleanObject(2, 1, 0, 2));
    }

    @Test
    void testToBooleanObject_ValueDoesNotMatchAnySpecifiedValue() {
        Exception exception = assertThrows(IllegalArgumentException.class, () -> {
            DefaultParser.toBooleanObject(3, 1, 0, 2);
        });
        assertEquals(""The Integer did not match any specified value"", exception.getMessage());
    }
}
```"
JA-040,java,data-research/java_functions/JA-040.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class HelpFormatterTest {
    
    @Test
    void testStripEnd_EmptyString() {
        assertEquals("""", HelpFormatter.stripEnd("""", null));
    }

    @Test
    void testStripEnd_WhitespaceOnly() {
        assertEquals("""", HelpFormatter.stripEnd(""   "", null));
    }

    @Test
    void testStripEnd_NullStripChars() {
        assertEquals(""Hello"", HelpFormatter.stripEnd(""Hello   "", null));
    }

    @Test
    void testStripEnd_EmptyStripChars() {
        assertEquals(""Hello"", HelpFormatter.stripEnd(""Hello"", """"));
    }

    @Test
    void testStripEnd_WithStripChars() {
        assertEquals(""Hello"", HelpFormatter.stripEnd(""Hello!!!"", ""!""));
    }

    @Test
    void testStripEnd_WithMultipleStripChars() {
        assertEquals(""Hello"", HelpFormatter.stripEnd(""Hello!!!??"", ""!?""));
    }

    @Test
    void testStripEnd_AllStripChars() {
        assertEquals("""", HelpFormatter.stripEnd(""!!!??"", ""!?""));
    }

    @Test
    void testStripEnd_NonWhitespace() {
        assertEquals(""Hello World"", HelpFormatter.stripEnd(""Hello World   "", null));
    }
}
```"
JA-042,java,data-research/java_functions/JA-042.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class DefaultParserTest {
    
    @Test
    void testSqueeze_EmptyString() {
        assertEquals("""", DefaultParser.squeeze(""""));
    }

    @Test
    void testSqueeze_NoSet() {
        assertEquals(""abc"", DefaultParser.squeeze(""abc""));
    }

    @Test
    void testSqueeze_ConsecutiveDuplicates() {
        assertEquals(""abc"", DefaultParser.squeeze(""aaabbbccc""));
    }

    @Test
    void testSqueeze_WithSet_OnlyInSet() {
        assertEquals(""abc"", DefaultParser.squeeze(""aaabbbccc"", ""a"", ""b"", ""c""));
    }

    @Test
    void testSqueeze_WithSet_IgnoreInSet() {
        assertEquals(""ab"", DefaultParser.squeeze(""aaabbb"", ""a""));
    }

    @Test
    void testSqueeze_WithSet_Mixed() {
        assertEquals(""a"", DefaultParser.squeeze(""aaab"", ""a""));
    }

    @Test
    void testSqueeze_WithSet_Complex() {
        assertEquals(""abc"", DefaultParser.squeeze(""aaabbbccc"", ""b""));
    }

    @Test
    void testSqueeze_SingleCharacter() {
        assertEquals(""a"", DefaultParser.squeeze(""a""));
    }

    @Test
    void testSqueeze_SingleCharacterWithSet() {
        assertEquals(""a"", DefaultParser.squeeze(""a"", ""a""));
    }
}
```"
JA-050,java,data-research/java_functions/JA-050.java,"```java
package org.apache.commons.cli;

import org.junit.jupiter.api.Test;
import static org.junit.jupiter.api.Assertions.*;

public class OptionComparatorTest {

    private final OptionComparator optionComparator = new OptionComparator();

    @Test
    void testEquals_BothNull() {
        assertTrue(optionComparator.equals(null, null));
    }

    @Test
    void testEquals_FirstNull() {
        assertFalse(optionComparator.equals(null, ""test""));
    }

    @Test
    void testEquals_SecondNull() {
        assertFalse(optionComparator.equals(""test"", null));
    }

    @Test
    void testEquals_SameString() {
        assertTrue(optionComparator.equals(""test"", ""test""));
    }

    @Test
    void testEquals_DifferentString() {
        assertFalse(optionComparator.equals(""test"", ""TEST""));
    }

    @Test
    void testEquals_DifferentLength() {
        assertFalse(optionComparator.equals(""test"", ""test1""));
    }

    @Test
    void testEquals_CharSequenceDifferent() {
        assertFalse(optionComparator.equals(new StringBuilder(""test""), new StringBuilder(""test1"")));
    }

    @Test
    void testEquals_CharSequenceSame() {
        assertTrue(optionComparator.equals(new StringBuilder(""test""), new StringBuilder(""test"")));
    }
}
```"
