func_id,language,source_repo,file,func_name,class_path,visibility,cc,nloc,params,start_line,end_line,qualname,is_method,receiver_kind,module_or_package,param_types,import_hint,enrich_note,ctor_signature,ctor_snippet,ctor_verified,needs_context,ctor_note,ctor_class,ctor_module,raw_source_path
CJ-001,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,MeterNeedle::equals,MeterNeedle,public,10,31,1,339,369,org.jfree.chart.plot.compass.MeterNeedle.equals,yes,instance,org.jfree.chart.plot.compass,Object,"import org.jfree.chart.plot.compass.MeterNeedle;  // construct MeterNeedle, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-001.java
CJ-002,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/BlockRealMatrix.java,BlockRealMatrix::transpose,BlockRealMatrix,public,5,28,0,1210,1242,org.apache.commons.math4.legacy.linear.BlockRealMatrix.transpose,yes,instance,org.apache.commons.math4.legacy.linear,,"import org.apache.commons.math4.legacy.linear.BlockRealMatrix;  // construct BlockRealMatrix, then instance.transpose()",,,,,,khong phai method,,,clean_functions/CJ-002.java
CJ-003,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::equals,DateTimeComparator,public,7,10,1,242,251,org.joda.time.DateTimeComparator.equals,yes,instance,org.joda.time,Object,"import org.joda.time.DateTimeComparator;  // construct DateTimeComparator, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-003.java
CJ-004,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::isValueCode,PatternOptionBuilder,public,10,3,1,163,165,org.apache.commons.cli.PatternOptionBuilder.isValueCode,yes,static,org.apache.commons.cli,char,import org.apache.commons.cli.PatternOptionBuilder;  // call PatternOptionBuilder.isValueCode(char),,,,,,khong phai method,,,clean_functions/CJ-004.java
CJ-005,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,AbstractLinkedMap::containsValue,AbstractLinkedMap,public,6,16,1,464,480,org.apache.commons.collections4.map.AbstractLinkedMap.containsValue,yes,instance,org.apache.commons.collections4.map,Object,"import org.apache.commons.collections4.map.AbstractLinkedMap;  // construct AbstractLinkedMap, then instance.containsValue(Object)",,,,,,khong phai method,,,clean_functions/CJ-005.java
CJ-006,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java,Adapter::read,MapTypeAdapterFactory.Adapter,public,7,35,1,176,212,com.google.gson.internal.bind.MapTypeAdapterFactory.Adapter.read,yes,instance,com.google.gson.internal.bind,JsonReader,import com.google.gson.internal.bind.MapTypeAdapterFactory;  // TARGET IS NESTED: MapTypeAdapterFactory.Adapter.read(JsonReader) — NOT MapTypeAdapterFactory.read(JsonReader),nested-class,,,,,khong phai method,,,clean_functions/CJ-006.java
CJ-007,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Attribute.java,Attribute::equals,Attribute,public,5,6,1,323,328,org.jsoup.nodes.Attribute.equals,yes,instance,org.jsoup.nodes,Object,"import org.jsoup.nodes.Attribute;  // construct Attribute, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-007.java
CJ-008,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader::readLine,ExtendedBufferedReader,public,8,20,0,261,280,org.apache.commons.csv.ExtendedBufferedReader.readLine,yes,instance,org.apache.commons.csv,,"import org.apache.commons.csv.ExtendedBufferedReader;  // construct ExtendedBufferedReader, then instance.readLine()",,,,,,khong phai method,,,clean_functions/CJ-008.java
CJ-009,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/title/CompositeTitle.java,CompositeTitle::equals,CompositeTitle,public,5,16,1,201,216,org.jfree.chart.title.CompositeTitle.equals,yes,instance,org.jfree.chart.title,Object,"import org.jfree.chart.title.CompositeTitle;  // construct CompositeTitle, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-009.java
CJ-010,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/Dfp.java,Dfp::equals,Dfp,public,5,10,1,895,907,org.apache.commons.math4.legacy.core.dfp.Dfp.equals,yes,instance,org.apache.commons.math4.legacy.core.dfp,Object,"import org.apache.commons.math4.legacy.core.dfp.Dfp;  // construct Dfp, then instance.equals(Object)",,,,,,khong phai method,,,clean_functions/CJ-010.java
