function_id,language,cc,method,branch_coverage,mutation_score,compiled
JA-002,java,5,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-010,java,5,gpt4o-mini-ctx-repair,0.0,0.0,1
JA-012,java,6,gpt4o-mini-ctx-repair,0.0,0.0,1
PY-001,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-002,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-003,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-004,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-005,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-006,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-007,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-008,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-009,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-010,python,5,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-011,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-012,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-013,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-014,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-015,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-016,python,6,gpt4o-mini-ctx-repair,100.0,100.0,1
PY-017,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-018,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-019,python,6,gpt4o-mini-ctx-repair,100.0,100.0,1
PY-020,python,6,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-021,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-022,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-023,python,7,gpt4o-mini-ctx-repair,90.0,0.0,1
PY-024,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-025,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-026,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-027,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-028,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-029,python,7,gpt4o-mini-ctx-repair,90.0,83.33,1
PY-030,python,7,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-031,python,8,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-032,python,8,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-033,python,8,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-034,python,8,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-035,python,8,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-036,python,8,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-037,python,8,gpt4o-mini-ctx-repair,75.0,0.0,1
PY-038,python,8,gpt4o-mini-ctx-repair,0.0,0.0,0
PY-039,python,8,gpt4o-mini-ctx-repair,90.0,66.67,1
PY-040,python,9,gpt4o-mini-ctx-repair,0.0,0.0,0
