function_id,language,test_source,model,action,test_path,gen_status,timestamp
JA-001,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,carry-forward-no-repair-needed,generated_tests/gpt4o_ctx_repair/java/JA-001_Test.java,ok,2026-07-15T01:55:41.291627
JA-002,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-002_Test.java,ok,2026-07-15T01:55:50.345081
JA-003,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-003_Test.java,ok,2026-07-15T01:55:56.595329
JA-004,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-004_Test.java,ok,2026-07-15T01:56:02.512569
JA-005,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-005_Test.java,ok,2026-07-15T01:56:07.446478
JA-006,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-006_Test.java,ok,2026-07-15T01:56:13.872971
JA-007,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-007_Test.java,ok,2026-07-15T01:56:20.037188
JA-008,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-008_Test.java,ok,2026-07-15T01:56:31.343249
JA-009,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,carry-forward-no-repair-needed,generated_tests/gpt4o_ctx_repair/java/JA-009_Test.java,ok,2026-07-15T01:56:31.344990
JA-010,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-010_Test.java,ok,2026-07-15T01:56:41.587343
JA-011,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-011_Test.java,ok,2026-07-15T01:56:50.979644
JA-012,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-012_Test.java,ok,2026-07-15T01:56:59.623445
JA-013,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-013_Test.java,ok,2026-07-15T01:57:04.775374
JA-014,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-014_Test.java,ok,2026-07-15T01:57:12.799117
JA-015,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-015_Test.java,ok,2026-07-15T01:57:19.752702
JA-016,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-016_Test.java,ok,2026-07-15T01:57:33.450731
JA-017,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,carry-forward-no-repair-needed,generated_tests/gpt4o_ctx_repair/java/JA-017_Test.java,ok,2026-07-15T01:57:33.454247
JA-018,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-018_Test.java,ok,2026-07-15T01:57:40.495828
JA-019,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-019_Test.java,ok,2026-07-15T01:57:57.340552
JA-020,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-020_Test.java,ok,2026-07-15T01:58:07.175014
JA-021,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-021_Test.java,ok,2026-07-15T01:58:11.831728
JA-022,java,gpt4o_ctx_repair,gpt-4o-mini-2024-07-18,repaired,generated_tests/gpt4o_ctx_repair/java/JA-022_Test.java,ok,2026-07-15T01:58:17.990240
