func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path,class_path,qualname,is_method,receiver_kind,module_or_package,visibility,param_types,import_hint,enrich_note,ctor_signature,ctor_snippet,ctor_verified,needs_context,ctor_note,ctor_class,ctor_module
HJ-001,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/FastScatterPlot.java,FastScatterPlot::calculateXDataRange,6,20,1,673,696,data-research/java_functions/HJ-001.java,FastScatterPlot,org.jfree.chart.plot.FastScatterPlot.calculateXDataRange,yes,instance,org.jfree.chart.plot,private,float,"import org.jfree.chart.plot.FastScatterPlot;  // construct FastScatterPlot, then instance.calculateXDataRange(float)",,,,,,khong phai method,,
HJ-002,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/MatrixUtils.java,MatrixUtils::checkSubMatrixIndex,7,23,3,547,570,data-research/java_functions/HJ-002.java,MatrixUtils,org.apache.commons.math4.legacy.linear.MatrixUtils.checkSubMatrixIndex,yes,static,org.apache.commons.math4.legacy.linear,public,"AnyMatrix,int,int","import org.apache.commons.math4.legacy.linear.MatrixUtils;  // call MatrixUtils.checkSubMatrixIndex(AnyMatrix, int, int)",,,,,,khong phai method,,
HJ-003,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/parser/HtmlTreeBuilderState.java,HtmlTreeBuilderState::process,7,22,2,26,50,data-research/java_functions/HJ-003.java,HtmlTreeBuilderState,org.jsoup.parser.HtmlTreeBuilderState.process,yes,instance,org.jsoup.parser,package-private,"Token,HtmlTreeBuilder","import org.jsoup.parser.HtmlTreeBuilderState;  // construct HtmlTreeBuilderState, then instance.process(Token, HtmlTreeBuilder)",,,,,,khong phai method,,
HJ-004,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java,Fraction::parseInto,6,30,3,1918,1955,data-research/java_functions/HJ-004.java,DateTimeFormatterBuilder.Fraction,org.joda.time.format.DateTimeFormatterBuilder.Fraction.parseInto,yes,instance,org.joda.time.format,public,"DateTimeParserBucket,CharSequence,int","import org.joda.time.format.DateTimeFormatterBuilder;  // TARGET IS NESTED: DateTimeFormatterBuilder.Fraction.parseInto(DateTimeParserBucket, CharSequence, int) — NOT DateTimeFormatterBuilder.parseInto(DateTimeParserBucket, CharSequence, int)",nested-class,,,,,khong phai method,,
HJ-005,java,google/gson,data/raw/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java,CollectionsDeserializationBenchmark::timeCollectionsStreaming,8,37,1,65,101,data-research/java_functions/HJ-005.java,CollectionsDeserializationBenchmark,com.google.gson.metrics.CollectionsDeserializationBenchmark.timeCollectionsStreaming,yes,instance,com.google.gson.metrics,public,int,"import com.google.gson.metrics.CollectionsDeserializationBenchmark;  // construct CollectionsDeserializationBenchmark, then instance.timeCollectionsStreaming(int)",,,,,,khong phai method,,
HJ-006,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/AbstractHelpFormatter.java,Builder::toSyntaxOptions,5,17,1,467,485,data-research/java_functions/HJ-006.java,AbstractHelpFormatter,org.apache.commons.cli.help.AbstractHelpFormatter.toSyntaxOptions,yes,instance,org.apache.commons.cli.help,public,OptionGroup,"import org.apache.commons.cli.help.AbstractHelpFormatter;  // construct AbstractHelpFormatter, then instance.toSyntaxOptions(OptionGroup)",,,,,,khong phai method,,
HJ-007,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,TrieEntry::toString,10,50,0,1049,1106,data-research/java_functions/HJ-007.java,AbstractPatriciaTrie.TrieEntry,org.apache.commons.collections4.trie.AbstractPatriciaTrie.TrieEntry.toString,yes,instance,org.apache.commons.collections4.trie,public,,import org.apache.commons.collections4.trie.AbstractPatriciaTrie;  // TARGET IS NESTED: AbstractPatriciaTrie.TrieEntry.toString() — NOT AbstractPatriciaTrie.toString(),nested-class,,,,,khong phai method,,
HJ-008,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,Headers::handleNull,8,9,1,804,814,data-research/java_functions/HJ-008.java,CSVParser,org.apache.commons.csv.CSVParser.handleNull,yes,instance,org.apache.commons.csv,private,String,"import org.apache.commons.csv.CSVParser;  // construct CSVParser, then instance.handleNull(String)",,,,,,khong phai method,,
HJ-009,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/renderer/xy/XYLineAndShapeRenderer.java,State::drawPrimaryLineAsPath,6,33,10,865,904,data-research/java_functions/HJ-009.java,XYLineAndShapeRenderer,org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.drawPrimaryLineAsPath,yes,instance,org.jfree.chart.renderer.xy,protected,"XYItemRendererState,Graphics2D,XYPlot,XYDataset,int,int,int,ValueAxis,ValueAxis,Rectangle2D","import org.jfree.chart.renderer.xy.XYLineAndShapeRenderer;  // construct XYLineAndShapeRenderer, then instance.drawPrimaryLineAsPath(XYItemRendererState, Graphics2D, XYPlot, XYDataset, int, int, int, ValueAxis, ValueAxis, Rectangle2D)",,,,,,khong phai method,,
HJ-010,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/Dfp.java,Dfp::Dfp,9,47,2,256,316,data-research/java_functions/HJ-010.java,Dfp,org.apache.commons.math4.legacy.core.dfp.Dfp.Dfp,yes,instance,org.apache.commons.math4.legacy.core.dfp,protected,"DfpField,double","import org.apache.commons.math4.legacy.core.dfp.Dfp;  // construct Dfp, then instance.Dfp(DfpField, double)",,,,,,khong phai method,,
